未按规定使用地面电源,1
接/送机程序执行不到位,3
工作交接制度执行不到位,3
违反高空作业操作规程,4
未按规定监护飞机,2
舱门开启时未拉警示带,3
违反机坪现场/车辆管理规定,2
未按规定使用警告牌,3
未遵守中队/班组管理规定,2
未按工卡/手册步骤施工,4
执行工卡漏项,4
工卡未做先签,5
未执行MEL的M项工作,5
未持卡工作,4
工卡执行不到位/不规范,2
人员资格不满足要求,5
专业技能/知识不足,3
未充分理解工卡/手册开展工作,4
放行人员错误执行MEL/CDL,5
未能正确处理TLB/CLB故障,4
工作分心/疲劳/丧失情景意识,2
未使用工卡/维护手册要求的工具设备,3
使用前未确认工具设备的完好性,1
未正确选择/使用工具设备,2
未按要求清点工具,2
工具设备未及时归还/归位,1
未按规定存放工具设备,1
不按规定着装,1
工作场所玩手机,3
维修行为不规范,2
工卡签署不及时,2
放行人员未按要求签署文件,4
未按要求借/还工作单卡,1
保留故障填写错误,4
未按要求填写CLB/TLB,3
未按要求填写串件单/换件单,2
附件标识挂签填写不规范,1
工卡签署不规范/漏项,1
漏填实测值,4
TLB放行栏漏签执照号,5
开工准备不充分,2
安排不具备资质的人员执行工作,5
现场生产组织不当,3
人员安排不合理,3
工作任务安排不合理,3
工作结束后未清理现场,1
工作现场管理混乱,1
器材未按规定挂牌,2
未及时报废/送修器材,2
未妥善运输/存放/保护器材,2
